0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:08 +0800] "GET /B2CforBook/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:09 +0800] "GET /B2CforBook/font/fontawesome/fonts/fontawesome.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:09 +0800] "GET /B2CforBook/img/star.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:09 +0800] "GET /B2CforBook/images/women/basic/848051-0014_1_t.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:09 +0800] "GET /B2CforBook/images/women/basic/688086-0286_1_t.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:09 +0800] "GET /B2CforBook/images/women/basic/848099-0067_1_t.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:09 +0800] "GET /B2CforBook/images/women/basic/589550-0014_1_t.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:09 +0800] "GET /B2CforBook/rev-slider/img/slides/3303349658_cfaebb811f_o.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:09 +0800] "GET /B2CforBook/img/AjaxLoader2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:33 +0800] "GET /B2CforBook/index.jsp HTTP/1.1" 200 26464
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:34 +0800] "GET /B2CforBook/css/minified.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:34 +0800] "GET /B2CforBook/js/modernizr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:34 +0800] "GET /B2CforBook/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:34 +0800] "GET /B2CforBook/css/owl.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:34 +0800] "GET /B2CforBook/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:34 +0800] "GET /B2CforBook/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:34 +0800] "GET /B2CforBook/js/minified.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:34 +0800] "GET /B2CforBook/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:34 +0800] "GET /B2CforBook/js/jquery.flexslider-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:34 +0800] "GET /B2CforBook/rev-slider/img/slides/Street-Fashion.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:34 +0800] "GET /B2CforBook/img/transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:34 +0800] "GET /B2CforBook/rev-slider/img/slides/3303349658_cfaebb811f_o.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:34 +0800] "GET /B2CforBook/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:35 +0800] "GET /B2CforBook/font/fontawesome/fonts/fontawesome.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:35 +0800] "GET /B2CforBook/img/star.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:35 +0800] "GET /B2CforBook/images/women/basic/848051-0014_1_t.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:35 +0800] "GET /B2CforBook/images/women/basic/688086-0286_1_t.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:35 +0800] "GET /B2CforBook/images/women/basic/848099-0067_1_t.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:35 +0800] "GET /B2CforBook/images/women/basic/589550-0014_1_t.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:45 +0800] "GET /B2CforBook/images/women/legging/104331-0014_1_t.jpg HTTP/1.1" 200 49823
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:46 +0800] "GET /B2CforBook/images/women/legging/714384-0014_1_t.jpg HTTP/1.1" 200 38998
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:01:48 +0800] "GET /B2CforBook/images/women/dress/256479-0014_1_t.jpg HTTP/1.1" 200 44716
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:02:39 +0800] "GET /B2CforBook/index.jsp HTTP/1.1" 200 26193
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:02:40 +0800] "GET /B2CforBook/css/minified.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:02:40 +0800] "GET /B2CforBook/js/modernizr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:02:40 +0800] "GET /B2CforBook/css/owl.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:02:40 +0800] "GET /B2CforBook/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:02:40 +0800] "GET /B2CforBook/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:02:40 +0800] "GET /B2CforBook/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:02:40 +0800] "GET /B2CforBook/js/minified.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:02:40 +0800] "GET /B2CforBook/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:02:40 +0800] "GET /B2CforBook/js/jquery.flexslider-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:02:40 +0800] "GET /B2CforBook/rev-slider/img/slides/Street-Fashion.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:02:40 +0800] "GET /B2CforBook/img/transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:02:40 +0800] "GET /B2CforBook/rev-slider/img/slides/3303349658_cfaebb811f_o.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:02:40 +0800] "GET /B2CforBook/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:02:41 +0800] "GET /B2CforBook/font/fontawesome/fonts/fontawesome.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:02:41 +0800] "GET /B2CforBook/img/star.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:02:41 +0800] "GET /B2CforBook/images/women/basic/848051-0014_1_t.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:02:41 +0800] "GET /B2CforBook/images/women/basic/688086-0286_1_t.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:02:41 +0800] "GET /B2CforBook/images/women/basic/848099-0067_1_t.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:02:41 +0800] "GET /B2CforBook/images/women/basic/589550-0014_1_t.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:02:41 +0800] "GET /B2CforBook/img/AjaxLoader2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:01:04:08 +0800] "GET /B2CforBook/index.jsp HTTP/1.1" 200 26097
